-1	1	-1	1	3		1	0.001	
-1	-1	-1	1	1		2	0.001
-1	-1	-1	3	17		3	0.002		
1	-1	-1	3	18		4	0.906		
1	1	1	1	8		5	0.858		
1	1	1	2	16		6	0.890		
-1	1	-1	3	19		7	0.004		
1	-1	1	1	6		8	0.885		
1	1	1	3	24		9	0.713		
1	1	-1	2	12		10	0.694		
-1	-1	1	1	5		11	0.275		
1	-1	1	2	14		12	0.855		
-1	-1	1	3	21		13	0.262		
-1	-1	1	2	13		14	0.304		
1	-1	1	3	22		15	0.787		
1	-1	-1	2	10		16	0.858		
1	-1	-1	1	2		17	0.890		
-1	-1	-1	2	9		18	0.003		
-1	1	-1	2	11		19	0.002		
-1	1	1	2	15		20	0.255		
-1	1	1	3	23		21	0.250		
1	1	-1	1	4		22	0.640			
-1	1	1	1	7		23	0.270		
1	1	-1	3	20		24	0.752		
